i_gru,n_m,Ra,dec,z,thete_g ,mu,sigv,r_b,flag,rabs1,d_ij,tcr,rp,rabs2,Target,ngc,pasiva
419,4,165.03599999999997,24.184,0.044661,5.492000000000001,26.171,190.701,14.257,1,-21.487,0.15413510000000002,0.0733007,105.78459170000001,-19.832,Loose,419,4
420,4,167.65400000000002,10.089,0.048069,4.614,25.761999999999997,64.255,14.463,1,-21.454,0.1352085,0.1908351,95.5844727,-20.469,Field,420,2
421,4,170.201,46.836999999999996,0.054342999999999995,5.027,25.709,146.606,14.370999999999999,1,-21.823,0.1315086,0.0813507,117.55127720000002,-21.176,Field,421,4
422,4,172.229,52.251999999999995,0.048257999999999995,2.695,24.807,293.16,14.484000000000002,1,-21.480999999999998,0.0817597,0.0252926,56.045013399999995,-19.995,Loose,422,2
423,6,172.503,44.184,0.045542,7.065,26.323,200.637,14.247,1,-21.574,0.1390112,0.0628345,138.7395477,-20.647,Field,423,2
425,4,178.19,20.192999999999998,0.051086,6.1370000000000005,26.124000000000002,309.14099999999996,14.168,1,-21.871,0.1376072,0.0403686,135.00621030000002,-20.938000000000002,Field,425,2
426,4,182.016,9.767999999999999,0.070482,3.3569999999999998,25.025,256.812,14.424000000000001,1,-22.379,0.1114948,0.0393729,101.40456390000001,-21.671999999999997,Loose,426,2
427,5,184.727,5.2589999999999995,0.07682699999999999,1.9180000000000001,23.593000000000004,452.333,14.142999999999999,1,-22.85,0.0683989,0.0137136,63.0650902,-21.912,FIl,427,5
428,4,186.892,50.398999999999994,0.040929,4.599,25.509,341.408,14.038,1,-21.493000000000002,0.0970567,0.0257817,81.2567978,-19.868,Field,428,0
429,4,195.334,39.92,0.037323,2.477,24.033,269.553,14.293,1,-21.058000000000003,0.045534500000000006,0.0153199,39.9475403,-20.495,Node,429,4
430,5,196.68099999999998,7.443,0.046963,4.468,25.704,291.642,14.597000000000001,1,-21.266,0.1046845,0.032553,90.4477005,-20.111,FIl,430,3
431,7,199.378,20.622,0.023709,10.575999999999999,25.846999999999998,148.123,13.489,1,-20.793000000000003,0.0888536,0.054401599999999994,108.6730652,-20.771,Field,431,4
432,4,200.27599999999998,12.196,0.062273,6.438,26.328000000000003,231.93900000000002,14.181,1,-22.329,0.1788004,0.0699125,172.1700592,-21.287,Field,432,2
433,7,205.05599999999998,56.799,0.06966,3.418,24.987,515.427,14.592,1,-22.204,0.1222832,0.0215159,102.06470490000001,-21.651999999999997,Field,433,6
434,5,205.38400000000001,23.211,0.033191000000000005,5.404,25.246,301.695,14.097000000000001,1,-20.863000000000003,0.09167710000000001,0.027558199999999998,77.56320190000001,-20.791999999999998,Field,434,3
435,4,206.183,40.455999999999996,0.076348,2.432,24.686999999999998,332.465,14.397,1,-22.583000000000002,0.12369169999999999,0.0337406,79.4565277,-20.24,Loose,435,4
436,4,207.61900000000003,24.948,0.030552,4.064,24.741,90.49,13.834000000000001,1,-21.048000000000002,0.0602605,0.060393499999999996,53.7311249,-20.799,Field,436,3
437,4,208.56599999999997,28.296999999999997,0.0752,3.95,25.741,130.132,14.729000000000001,1,-22.24,0.1679725,0.11706169999999999,127.1666183,-21.355,FIl,437,3
438,4,211.225,24.212,0.062808,4.612,25.905,347.023,14.530999999999999,1,-22.034000000000002,0.14937229999999999,0.0390366,124.38317109999998,-21.074,Field,438,2
439,5,213.299,27.345,0.055761,3.136,24.986,191.93200000000002,14.617,1,-21.656,0.08956549999999999,0.0423207,75.2258224,-20.643,Loose,439,5
440,4,214.928,28.864,0.057464,1.939,24.017,447.504,14.534,1,-21.795,0.0712276,0.014434799999999998,47.9008713,-20.641,Node,440,3
441,4,215.25799999999998,17.684,0.053326,1.953,24.141,687.977,14.565,1,-21.531999999999996,0.0665214,0.0087689,44.8256721,-20.269000000000002,Node,441,2
442,4,218.482,28.0,0.032257999999999995,8.995,26.143,83.07600000000001,13.703,1,-21.301,0.1432423,0.1563711,125.5164108,-21.268,Field,442,3
443,4,221.618,23.891,0.048737,4.7010000000000005,25.755,543.013,14.508,1,-21.430999999999997,0.15928979999999998,0.0266034,98.7155304,-20.840999999999998,Field,443,4
